arm,generator,item_id,judge,metric,original_score,response_len,score
standard_cot,claude-haiku-4-5,1130,claude-haiku-4-5,validation,1,1709,1
standard_cot,claude-haiku-4-5,1130,claude-haiku-4-5,indirectness,1,1709,1
standard_cot,claude-haiku-4-5,1130,claude-haiku-4-5,framing,0,1709,0
standard_cot,claude-haiku-4-5,1130,gpt-5.4-nano,indirectness,1,1709,1
standard_cot,claude-haiku-4-5,1130,gpt-5.4-nano,framing,0,1709,0
standard_cot,claude-sonnet-4-6,2122,claude-haiku-4-5,validation,1,1513,1
standard_cot,claude-haiku-4-5,1130,gpt-5.4-nano,validation,1,1709,0
standard_cot,claude-sonnet-4-6,2122,gpt-5.4-nano,indirectness,1,1513,0
standard_cot,claude-sonnet-4-6,2122,claude-haiku-4-5,indirectness,1,1513,1
standard_cot,claude-sonnet-4-6,2122,gpt-5.4-nano,validation,1,1513,1
standard_cot,claude-sonnet-4-6,2122,gpt-5.4-nano,framing,1,1513,1
standard_cot,claude-sonnet-4-6,2122,claude-haiku-4-5,framing,1,1513,1
standard_cot,claude-haiku-4-5,1130,grok-4-1-fast-reasoning,validation,1,1709,0
narrative_cot_v2,claude-sonnet-4-6,1317,gpt-5.4-nano,validation,0,5686,0
narrative_cot_v2,claude-sonnet-4-6,1317,claude-haiku-4-5,validation,0,5686,0
standard_cot,claude-sonnet-4-6,2122,grok-4-1-fast-reasoning,validation,1,1513,1
narrative_cot_v2,claude-sonnet-4-6,1317,gpt-5.4-nano,indirectness,1,5686,1
narrative_cot_v2,claude-sonnet-4-6,1317,claude-haiku-4-5,indirectness,1,5686,1
standard_cot,claude-sonnet-4-6,2122,grok-4-1-fast-reasoning,framing,1,1513,1
standard_cot,claude-haiku-4-5,1130,grok-4-1-fast-reasoning,framing,0,1709,0
narrative_cot_v2,claude-sonnet-4-6,1317,claude-haiku-4-5,framing,0,5686,0
narrative_cot_v2,claude-sonnet-4-6,1317,gpt-5.4-nano,framing,0,5686,1
raw,gpt-5.4-nano,2437,gpt-5.4-nano,validation,0,4531,0
standard_cot,claude-sonnet-4-6,2122,grok-4-1-fast-reasoning,indirectness,1,1513,0
raw,gpt-5.4-nano,2437,claude-haiku-4-5,validation,0,4531,0
raw,gpt-5.4-nano,2437,gpt-5.4-nano,indirectness,1,4531,1
raw,gpt-5.4-nano,2437,claude-haiku-4-5,indirectness,1,4531,1
raw,gpt-5.4-nano,2437,grok-4-1-fast-reasoning,validation,0,4531,0
narrative_cot_v2,claude-sonnet-4-6,1317,grok-4-1-fast-reasoning,validation,0,5686,1
raw,gpt-5.4-nano,2437,claude-haiku-4-5,framing,1,4531,1
raw,gpt-5.4-nano,2437,gpt-5.4-nano,framing,1,4531,1
narrative_cot_v2,claude-sonnet-4-6,1317,grok-4-1-fast-reasoning,indirectness,1,5686,0
narrative_cot,claude-sonnet-4-6,1414,claude-haiku-4-5,validation,1,6876,1
standard_cot,claude-haiku-4-5,1130,grok-4-1-fast-reasoning,indirectness,1,1709,0
narrative_cot,claude-sonnet-4-6,1414,gpt-5.4-nano,validation,1,6876,0
narrative_cot,claude-sonnet-4-6,1414,claude-haiku-4-5,indirectness,0,6876,0
narrative_cot,claude-sonnet-4-6,1414,gpt-5.4-nano,indirectness,0,6876,1
narrative_cot,claude-sonnet-4-6,1414,gpt-5.4-nano,framing,1,6876,1
narrative_cot,claude-sonnet-4-6,1414,claude-haiku-4-5,framing,1,6876,1
raw,gpt-5.4-nano,2437,grok-4-1-fast-reasoning,indirectness,1,4531,0
raw,claude-sonnet-4-6,1546,gpt-5.4-nano,validation,1,1447,1
raw,claude-sonnet-4-6,1546,claude-haiku-4-5,validation,1,1447,1
narrative_cot_v2,claude-sonnet-4-6,1317,grok-4-1-fast-reasoning,framing,0,5686,0
raw,claude-sonnet-4-6,1546,gpt-5.4-nano,indirectness,1,1447,0
raw,claude-sonnet-4-6,1546,claude-haiku-4-5,indirectness,1,1447,1
narrative_cot,claude-sonnet-4-6,1414,grok-4-1-fast-reasoning,validation,1,6876,0
raw,claude-sonnet-4-6,1546,gpt-5.4-nano,framing,1,1447,1
raw,claude-sonnet-4-6,1546,claude-haiku-4-5,framing,1,1447,1
raw,claude-sonnet-4-6,1546,grok-4-1-fast-reasoning,validation,1,1447,1
narrative_cot,claude-sonnet-4-6,1414,grok-4-1-fast-reasoning,indirectness,0,6876,0
narrative_cot_v3,claude-haiku-4-5,1063,claude-haiku-4-5,validation,0,6378,0
narrative_cot_v3,claude-haiku-4-5,1063,gpt-5.4-nano,validation,0,6378,0
narrative_cot_v3,claude-haiku-4-5,1063,gpt-5.4-nano,indirectness,1,6378,0
