scenario_id,perspective_id,sample_idx,gen_model,synthesis_label,response_type,decision,modification_description,rejection_reason,decision_confidence
hospital_allocation,patient_a,1,gpt-4o,balance_immediate_and_broad_impacts,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"The decision should prioritize the direct, immediate, and tangible impact of saving a single parent who has young dependents.",,0.9
hospital_allocation,administrator,3,gpt-5.4-nano,prioritize_immediate_recovery,ACCEPT,TREAT_A,,,0.9
hospital_allocation,patient_a,2,gpt-5.4-nano,prioritize_higher_probability_recovery,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,The “emotional and familial implications” should be explicitly secondary and should not override the clear clinical probability difference.,,0.9
hospital_allocation,administrator,2,gpt-5.4-nano,prioritize_higher_probability_recovery,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"State the priority as 'choose the patient with the higher probability of recovery from this dose, given that the alternative (no dose) prognosis is the same for both.'",,0.9
hospital_allocation,patient_a_eldest_child,2,gpt-5.4-nano,prioritize_higher_probability_recovery,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"The administrator shouldn’t treat my mom’s higher recovery chance as permission to stop caring about Patient B; they should still give B the best available care, be honest, and handle the decision with kindness.",,0.9
hospital_allocation,patient_a_eldest_child,1,gpt-4o,balance_immediate_and_broad_impacts,ACCEPT_WITH_MODIFICATION,TREAT_A,"The administrator should prioritize Patient A for the treatment, as they have a higher chance of recovery and an immediate, tangible impact on their family.",,0.9
hospital_allocation,administrator,3,gpt-4o,shared_risk_allocation,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"The focus shifts to a collective decision-making process that considers the emotional, ethical, and societal implications raised throughout this debate.",,0.85
hospital_allocation,patient_a,3,gpt-4o,shared_risk_allocation,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"Include a clear, evidence-based consultation with the medical team about the efficacy of dividing the treatment.",,0.85
hospital_allocation,patient_a_eldest_child,3,gpt-4o,shared_risk_allocation,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"Allocate the medicine unequally, giving Patient A a larger portion to maximize their higher chance of recovery, while still giving Patient B a meaningful opportunity to benefit from the treatment.",,0.85
hospital_allocation,administrator,1,gpt-4o,balance_immediate_and_broad_impacts,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,The synthesis must incorporate a nuanced prioritization based on the likelihood of a successful outcome and the tangible consequences of survival in each scenario.,,0.8
hospital_allocation,administrator,2,gpt-4o,consider_multiple_options,ACCEPT_WITH_MODIFICATION,MODIFIED_SYNTHESIS,"The modification I require is the inclusion of a clear, actionable framework for decision-making within the one-hour time limit.",,0.8
