model,scaffold,arm,item_id,sample_idx,gold_verdict,role_id,role_stake,group_verdict,synthesis_verdict,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,finish_reason,truncated,output_len
grok-4-1-fast-reasoning,dilemma_ncot,neutral,03R1lw31ZiHrbKQD5WXZTRUOGRi6OAHH,0,ACTION_A,person_a_advocate,ACTION_B,ACTION_B,ACTION_B,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,679
grok-4-1-fast-reasoning,dilemma_ncot,neutral,03R1lw31ZiHrbKQD5WXZTRUOGRi6OAHH,0,ACTION_A,person_b_advocate,ACTION_A,ACTION_B,ACTION_B,REJECT,1,unresolvable,365,1,0,1,REJECT,1,1,0,1,stop,0,661
grok-4-1-fast-reasoning,dilemma_ncot,neutral,03R1lw31ZiHrbKQD5WXZTRUOGRi6OAHH,0,ACTION_A,neutral_adjudicator,none,ACTION_B,ACTION_B,REJECT,1,unresolvable,137,1,0,1,ACCEPT,0,1,1,0,stop,0,695
grok-4-1-fast-reasoning,dilemma_ncot,neutral,02QO91zHK0SAi005MocMXbRJi2YSiG3n,0,ACTION_A,person_a_advocate,ACTION_B,ACTION_A,ACTION_A,REJECT,1,unresolvable,299,1,0,1,REJECT,1,1,0,1,stop,0,661
grok-4-1-fast-reasoning,dilemma_ncot,neutral,02QO91zHK0SAi005MocMXbRJi2YSiG3n,0,ACTION_A,person_b_advocate,ACTION_A,ACTION_A,ACTION_A,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,688
grok-4-1-fast-reasoning,dilemma_ncot,neutral,02QO91zHK0SAi005MocMXbRJi2YSiG3n,0,ACTION_A,neutral_adjudicator,none,ACTION_A,ACTION_A,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,689
grok-4-1-fast-reasoning,dilemma_ncot,neutral,00sTPdQET3i1uMjbkt8a8RmirDxWE46f,0,ACTION_A,person_a_advocate,ACTION_B,ACTION_A,ACTION_A,REJECT,1,unresolvable,202,1,0,1,REJECT,1,1,0,1,stop,0,717
grok-4-1-fast-reasoning,dilemma_ncot,neutral,00sTPdQET3i1uMjbkt8a8RmirDxWE46f,0,ACTION_A,person_b_advocate,ACTION_A,ACTION_A,ACTION_A,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,488
grok-4-1-fast-reasoning,dilemma_ncot,neutral,00sTPdQET3i1uMjbkt8a8RmirDxWE46f,0,ACTION_A,neutral_adjudicator,none,ACTION_A,ACTION_A,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,587
grok-4-1-fast-reasoning,dilemma_ncot,neutral,03zUPlPH9vIvhpWerqPWPlWnKqyPHncJ,0,ACTION_A,person_a_advocate,ACTION_B,ACTION_B,ACTION_B,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,439
