model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated
Mistral-Large-3-2,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,1,YTA,128,1.0,scruples,ESH,0,1,0,394,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,0,YTA,76,1.0,scruples,YTA,0,1,0,382,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,1,0,stop,0
Mistral-Large-3-2,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,1,YTA,76,1.0,scruples,YTA,0,1,0,392,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,2,YTA,128,1.0,scruples,NTA,0,0,1,430,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,0,YTA,128,1.0,scruples,ESH,0,1,0,503,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,2,YTA,76,1.0,scruples,NOVERDICT,1,0,0,0,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,content_filter,0
Mistral-Large-3-2,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,1,YTA,58,1.0,scruples,YTA,0,1,0,347,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,2,YTA,58,1.0,scruples,YTA,0,1,0,416,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,58,1.0,scruples,YTA,0,1,0,388,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,2,YTA,57,1.0,scruples,YTA,0,1,0,488,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,0,YTA,57,1.0,scruples,YTA,0,1,0,540,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,1,YTA,57,1.0,scruples,YTA,0,1,0,471,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,RnvwUjoZCVg9h9ifwdgp7XMdBSyHHo3l,0,YTA,244,0.9918,scruples,YTA,0,1,0,551,271e167df6182264da94502b31ebb7b9e64a627d8942964cf21a205b2aadade3,,,0,0,stop,0
Mistral-Large-3-2,standard,third_person,RnvwUjoZCVg9h9ifwdgp7XMdBSyHHo3l,2,YTA,244,0.9918,scruples,YTA,0,1,0,489,271e167df6182264da94502b31ebb7b9e64a627d8942964cf21a205b2aadade3,,,0,0,stop,0
