model,scaffold,arm,third_seat,item_id,sample_idx,gold_type,region,gold_verdict,role_id,role_stake,group_verdict,synthesis_verdict,r0_verdict,r1_verdict,r2_verdict,r0_is_nash,r2_is_nash,r0_correct,r2_correct,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,group_plan_payoff,best_nash_payoff,maximin_payoff,type_named_in_prompt,type_named_rounds,finish_reason,truncated,output_len
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,plan_mediator,none,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,450
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,player_c_advocate,col,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,0,,stop,0,358
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,player_r_advocate,row,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,0,,stop,0,413
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,112,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,plan_mediator,none,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,456
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,112,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,player_c_advocate,col,PLAN_22,PLAN_22,PLAN_11,PLAN_22,PLAN_22,0,1,0,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,2,2,0,,stop,0,485
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,112,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,player_r_advocate,row,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,4,4,2,0,,stop,0,423
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,113,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,plan_mediator,none,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,401
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,113,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,player_c_advocate,col,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,3,2,0,,stop,0,412
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,113,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,player_r_advocate,row,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,4,4,2,0,,stop,0,372
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,114,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,plan_mediator,none,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,438
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,114,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,player_c_advocate,col,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,3,2,0,,stop,0,502
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,114,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,player_r_advocate,row,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,4,4,2,0,,stop,0,427
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,115,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,plan_mediator,none,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,1,1,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,447
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,115,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,player_c_advocate,col,PLAN_11,PLAN_11,PLAN_21,NO_UNIQUE_PLAN,NO_UNIQUE_PLAN,0,,0,0,REJECT,1,unresolvable,231,1,0,1,REJECT,1,1,0,0,3,3,3,0,,stop,0,478
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,115,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,player_r_advocate,row,PLAN_11,PLAN_11,PLAN_12,PLAN_11,PLAN_11,0,1,0,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,2,2,0,,stop,0,651
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,116,0,ZERO_SUM,cannot_assist,NO_UNIQUE_PLAN,plan_mediator,none,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,422
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,116,0,ZERO_SUM,cannot_assist,NO_UNIQUE_PLAN,player_c_advocate,col,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,3,3,0,,stop,0,353
