model,scaffold,arm,third_seat,item_id,sample_idx,gold_type,region,gold_verdict,gold_action,private_action,dominant_action,maximin_action,role_id,role_stake,group_verdict,group_is_gold,synthesis_verdict,r0_verdict,r1_verdict,r2_verdict,r0_is_private,r2_is_private,r0_is_gold,r2_is_gold,r0_is_nash,r2_is_nash,r0_correct,r2_correct,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,group_plan_payoff,deviation_payoff,best_nash_payoff,maximin_payoff,type_named_in_prompt,type_named_rounds,finish_reason,truncated,output_len
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,,,,,plan_mediator_nb,none,PLAN_22,0,PLAN_22,PLAN_11,PLAN_22,PLAN_22,,,,,0,1,1,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,1,r1|r2,stop,0,448
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,ACT_1,ACT_2,ACT_2,ACT_2,player_c_advocate_nb,col,PLAN_22,0,PLAN_22,ACT_2,ACT_2,ACT_2,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r1|r2|r3_label,stop,0,494
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,ACT_1,ACT_2,ACT_2,ACT_2,player_r_advocate_nb,row,PLAN_22,0,PLAN_22,ACT_2,ACT_2,ACT_2,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r1|r2,stop,0,441
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,,,,,plan_mediator_nb,none,PLAN_11,0,PLAN_11,PLAN_11,PLAN_11,PLAN_11,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,1,r2,stop,0,426
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,ACT_2,ACT_1,ACT_1,ACT_1,player_c_advocate_nb,col,PLAN_11,0,PLAN_11,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2,stop,0,413
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,ACT_2,ACT_1,ACT_1,ACT_1,player_r_advocate_nb,row,PLAN_11,0,PLAN_11,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2,stop,0,413
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,,,,,plan_mediator_nb,none,PLAN_11,0,PLAN_11,PLAN_11,PLAN_11,PLAN_11,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,1,r1|r2|r3_label,stop,0,603
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,ACT_2,ACT_1,ACT_1,ACT_1,player_c_advocate_nb,col,PLAN_11,0,PLAN_11,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r1|r2,stop,0,395
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,ACT_2,ACT_1,ACT_1,ACT_1,player_r_advocate_nb,row,PLAN_11,0,PLAN_11,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r1|r2,stop,0,391
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,0,DILEMMA_BOTH_PREFER,value,PLAN_12,,,,,plan_mediator_nb,none,PLAN_21,0,PLAN_21,PLAN_21,PLAN_21,PLAN_21,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,1,r2|r3_label|r4_vote,stop,0,485
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,0,DILEMMA_BOTH_PREFER,value,PLAN_12,ACT_2,ACT_1,ACT_1,ACT_1,player_c_advocate_nb,col,PLAN_21,0,PLAN_21,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2|r3_label|r4_vote,stop,0,405
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,0,DILEMMA_BOTH_PREFER,value,PLAN_12,ACT_1,ACT_2,,ACT_2,player_r_advocate_nb,row,PLAN_21,0,PLAN_21,ACT_2,ACT_2,ACT_2,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2|r3_label|r4_vote,stop,0,432
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,1,DILEMMA_BOTH_PREFER,value,PLAN_21,,,,,plan_mediator_nb,none,PLAN_12,0,PLAN_12,PLAN_12,PLAN_12,PLAN_12,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,1,r2,stop,0,493
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,1,DILEMMA_BOTH_PREFER,value,PLAN_21,ACT_1,ACT_2,ACT_2,ACT_2,player_c_advocate_nb,col,PLAN_12,0,PLAN_12,ACT_2,ACT_2,ACT_2,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2,stop,0,422
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,1,DILEMMA_BOTH_PREFER,value,PLAN_21,ACT_2,ACT_1,,ACT_1,player_r_advocate_nb,row,PLAN_12,0,PLAN_12,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2,stop,0,404
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,2,DILEMMA_BOTH_PREFER,value,PLAN_22,,,,,plan_mediator_nb,none,PLAN_11,0,PLAN_11,PLAN_11,PLAN_11,PLAN_11,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,1,r2,stop,0,430
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,2,DILEMMA_BOTH_PREFER,value,PLAN_22,ACT_2,ACT_1,ACT_1,ACT_1,player_c_advocate_nb,col,PLAN_11,0,PLAN_11,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2,stop,0,392
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,221,2,DILEMMA_BOTH_PREFER,value,PLAN_22,ACT_2,ACT_1,,ACT_1,player_r_advocate_nb,row,PLAN_11,0,PLAN_11,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,1,r2,stop,0,426
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,231,0,DILEMMA_BOTH_PREFER,value,PLAN_21,,,,,plan_mediator_nb,none,PLAN_12,0,PLAN_12,PLAN_12,PLAN_12,PLAN_12,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,0,,stop,0,451
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,231,0,DILEMMA_BOTH_PREFER,value,PLAN_21,ACT_1,ACT_2,ACT_2,ACT_2,player_c_advocate_nb,col,PLAN_12,0,PLAN_12,ACT_2,ACT_2,ACT_2,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,0,,stop,0,424
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,231,0,DILEMMA_BOTH_PREFER,value,PLAN_21,ACT_2,ACT_1,,ACT_1,player_r_advocate_nb,row,PLAN_12,0,PLAN_12,ACT_1,ACT_1,ACT_1,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,1,3,2,0,,stop,0,417
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,231,1,DILEMMA_BOTH_PREFER,value,PLAN_21,,,,,plan_mediator_nb,none,PLAN_12,0,PLAN_12,PLAN_12,PLAN_12,PLAN_12,,,,,1,1,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,,0,,stop,0,388
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,231,1,DILEMMA_BOTH_PREFER,value,PLAN_21,ACT_1,ACT_2,ACT_2,ACT_2,player_c_advocate_nb,col,PLAN_12,0,PLAN_12,ACT_2,ACT_2,ACT_2,1,1,0,0,,,0,0,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,2,1,2,2,0,,stop,0,344
