model,scaffold,arm,item_id,sample_idx,masked,gold_type,region,gold_verdict,verdict,correct,noncommittal,is_nash,nash_verdicts,row_perm,col_perm,row_name,col_name,row_best_verdict,col_best_verdict,finish_reason,truncated,output_len,prompt_tokens,completion_tokens
grok-4-1-fast-reasoning,tmg_solo,full,111,0,0,DILEMMA_BOTH_PREFER,value,PLAN_11,PLAN_11,1,0,0,PLAN_22,01,10,Oakley,Morgan,PLAN_21,PLAN_12,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,111,1,0,DILEMMA_BOTH_PREFER,value,PLAN_22,PLAN_22,1,0,0,PLAN_11,10,01,Rowan,Harper,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,111,2,0,DILEMMA_BOTH_PREFER,value,PLAN_22,PLAN_22,1,0,0,PLAN_11,10,01,Jordan,Taylor,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,112,0,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,PLAN_22,1,0,1,PLAN_22,01,01,Oakley,Sage,PLAN_22,PLAN_11,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,112,1,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_12,PLAN_12,1,0,1,PLAN_12,10,01,Harper,Oakley,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,112,2,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_21,PLAN_21,1,0,1,PLAN_21,01,10,Sage,Parker,PLAN_21,PLAN_12,stop,0,317,449,109
grok-4-1-fast-reasoning,tmg_solo,full,113,0,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,PLAN_11,1,0,1,PLAN_11,10,10,Noor,Jordan,PLAN_11,PLAN_22,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,113,1,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_21,PLAN_21,1,0,1,PLAN_21,01,10,Emerson,Taylor,PLAN_21,PLAN_12,stop,0,16,450,7
grok-4-1-fast-reasoning,tmg_solo,full,113,2,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_12,PLAN_12,1,0,1,PLAN_12,10,01,Sage,Parker,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,114,0,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,PLAN_22,1,0,1,PLAN_22,01,01,Lennox,Noor,PLAN_22,PLAN_11,stop,0,16,451,7
grok-4-1-fast-reasoning,tmg_solo,full,114,1,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_12,PLAN_12,1,0,1,PLAN_12,10,01,Morgan,Rowan,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,114,2,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,PLAN_22,1,0,1,PLAN_22,01,01,Sage,Wren,PLAN_22,PLAN_11,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,115,0,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_11,PLAN_11,1,0,1,PLAN_11,10,01,Oakley,Sage,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,115,1,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_12,PLAN_12,1,0,1,PLAN_12,10,10,Sage,Parker,PLAN_11,PLAN_22,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,115,2,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_21,PLAN_21,1,0,1,PLAN_21,01,01,Parker,Kendall,PLAN_22,PLAN_11,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,116,0,0,ZERO_SUM,cannot_assist,NO_UNIQUE_PLAN,PLAN_12,0,0,1,PLAN_12,10,10,Rowan,Oakley,PLAN_11,PLAN_22,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,116,1,0,ZERO_SUM,cannot_assist,NO_UNIQUE_PLAN,PLAN_11,0,0,1,PLAN_11,10,01,Morgan,Emerson,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,116,2,0,ZERO_SUM,cannot_assist,NO_UNIQUE_PLAN,PLAN_11,0,0,1,PLAN_11,10,01,Finley,Kendall,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,121,0,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_22,PLAN_22,1,0,1,PLAN_22,10,10,Finley,Jordan,PLAN_11,PLAN_22,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,121,1,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_21,PLAN_21,1,0,1,PLAN_21,10,01,Noor,Morgan,PLAN_12,PLAN_21,stop,0,16,449,7
grok-4-1-fast-reasoning,tmg_solo,full,121,2,0,INCENTIVE_COMPATIBLE_EFFICIENT,neutral,PLAN_21,PLAN_21,1,0,1,PLAN_21,10,01,Lennox,Harper,PLAN_12,PLAN_21,stop,0,16,451,7
