dataset,binary_qtype,model,condition,item_id,correct_answer,predicted,is_correct,prompt_tokens,completion_tokens
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_23-0-1_answerability_bin_2,yes,no,0,841,44
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_192-0-1_answerability_bin_0,yes,yes,1,455,153
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_23-0-1_answerability_bin_2,yes,no,0,844,124
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_6-0-0_answerability_bin_2,yes,no,0,727,73
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_6-0-0_answerability_bin_2,yes,no,0,730,109
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_192-0-1_answerability_bin_0,yes,yes,1,458,201
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_212-1-1_answerability_bin_1,no,no,1,1300,57
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_23-0-1_answerability_bin_2,yes,no,0,1211,194
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_192-0-1_answerability_bin_0,yes,yes,1,825,319
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_212-1-1_answerability_bin_1,no,no,1,1303,85
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_212-1-1_answerability_bin_1,no,no,1,1670,119
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_68-0-1_answerability_bin_0,yes,no,0,516,95
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_76-1-0_answerability_bin_2,no,no,1,657,135
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_68-0-1_answerability_bin_0,yes,no,0,519,186
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_6-0-0_answerability_bin_2,yes,no,0,1097,337
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_76-1-0_answerability_bin_2,no,no,1,1024,321
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_60-0-1_answerability_bin_3,yes,no,0,697,58
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_60-0-1_answerability_bin_3,yes,no,0,700,107
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_30-0-0_answerability_bin_4,yes,no,0,720,46
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_30-0-0_answerability_bin_4,yes,no,0,723,114
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_212-0-0_answerability_bin_0,yes,no,0,728,119
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_212-0-0_answerability_bin_0,yes,no,0,731,151
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_68-0-1_answerability_bin_0,yes,no,0,886,414
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_21-1-1_answerability_bin_4,yes,no,0,1056,74
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_212-0-0_answerability_bin_0,yes,no,0,1098,215
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_21-1-1_answerability_bin_4,yes,no,0,1059,105
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_30-0-0_answerability_bin_4,yes,no,0,1090,302
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_60-0-1_answerability_bin_3,yes,no,0,1067,344
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_201-0-2_answerability_bin_0,no,no,1,807,70
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_201-0-2_answerability_bin_0,no,no,1,804,47
