model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated,protocol,agent_scaffold,stake_nudge,stake_intervention,r3r4_reasoning_effort,r3r4_thinking_budget,n_agents,moderator_model,synthesis_verdict,synthesis_len,verdict_revised,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_writer_advocate,vote_counterparty,vote_neutral_adjudicator,mean_agent_sections,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls
gpt-4o,deliberation_ncot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,217,0.9585,scruples,YTA,0,1,0,1277,931ee704f1ca39949e6243568540923dc8943a271aa90f4367c2c0b37cf94053,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,580,0,REJECT|REJECT|REJECT,0,0,3,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,0.333,17,29409,3893,0,0
gpt-4o,deliberation_ncot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,53,0.9057,scruples,ESH,0,1,0,1135,d1ef15762ff98c5b9391c347937aebd02493bb0f7437e7ba4195181240cf3610,,,1,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,593,1,REJECT|REJECT|ACCEPT,1,0,2,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,2.667,17,29895,4774,0,0
gpt-4o,deliberation_ncot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,145,0.9103,scruples,NAH,0,0,1,870,7a0f05b3d25f81e4fd84b0d523fa1987d8033887195f00426e6c5cb2e4ca1ce7,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,669,1,REJECT|ACCEPT_WITH_MODIFICATION|REJECT,0,1,2,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,1.667,17,33811,6246,0,0
gpt-4o,deliberation_ncot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,405,0.958,scruples,ESH,0,1,0,1292,5179af90b71fb4f33ea79252f39666b45769acb3b4e62d94ebc2f554f60f28fc,,,1,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,861,1,ACCEPT_WITH_MODIFICATION|REJECT|REJECT,0,1,2,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,2,2,1,0,0,counterparty,ACCEPT,REJECT,ACCEPT,2.333,17,31146,4979,0,0
gpt-4o,deliberation_ncot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,132,0.9167,scruples,YTA,0,1,0,1179,1f44affad4cfe9c15e4b344b5798d4b9eb54629eb87c2abfc294e3ae51d17306,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,832,0,REJECT|REJECT|REJECT,0,0,3,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,2,2,1,0,0,writer_advocate,REJECT,ACCEPT,ACCEPT,0.667,17,24631,3663,0,0
gpt-4o,deliberation_ncot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,111,0.9099,scruples,ESH,0,1,0,1180,0086fe69b2468df57fb379c9f8c79a369269158744b25fe8831a83f63fe71f1b,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,725,1,REJECT|ACCEPT_WITH_MODIFICATION|REJECT,0,1,2,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,2,2,1,0,0,writer_advocate,REJECT,ACCEPT,ACCEPT,2.333,17,26758,4241,0,0
gpt-4o,deliberation_ncot,third_person,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,62,0.9355,scruples,ESH,0,1,0,747,793c8629009d3fdb59bbb0c87e7d4eb68c0b58781b6e0f9b22875de248886153,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,638,1,ACCEPT_WITH_MODIFICATION|REJECT|REJECT,0,1,2,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,2.0,17,26645,4168,0,0
gpt-4o,deliberation_ncot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,76,0.9737,scruples,ESH,0,1,0,1288,4df5a0da2c05877ed49484a4ad141e416a4560bc5c5b4f8840ab61c7c12803ac,,,1,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,613,1,REJECT|REJECT|REJECT,0,0,3,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,1.0,17,33643,3893,0,0
gpt-4o,deliberation_ncot,third_person,3TR1PHhgXTR0AFUY1y0Rqwf8QIIsb01o,0,YTA,122,0.9344,scruples,NOVERDICT,1,0,0,0,61e32be88ae38b6d5deb7127a612b9c8c6f6e646b08eb9c963f90fec9b34c689,,,0,0,content_filter,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,NOVERDICT,0,0,NOVERDICT|NOVERDICT|NOVERDICT,0,0,0,3,0,0,0,,0,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,1.667,17,2231,1847,14,0
gpt-4o,deliberation_ncot,third_person,4kgy145GkVQdIoojVXjQwIZNf13Pccmp,0,YTA,141,0.9362,scruples,YTA,0,1,0,1147,4ee87beb1291d95fdf5dc10f7ed8779d1c8d8a6f7c13008e1067ef36a2d8b4d0,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,gpt-4o,YTA,620,0,REJECT|ACCEPT_WITH_MODIFICATION|ACCEPT,1,1,1,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,2.0,17,27528,4363,0,0
