model,scaffold,arm,stake_nudge,stake_intervention,item_id,sample_idx,gold_verdict,role_id,paper_role,role_stake,group_verdict,group_at_fault,synthesis_verdict,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,finish_reason,truncated,output_len
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,1,stop,0,437
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,860
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,527
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,writer_advocate,primary_affected,not_at_fault,NTA,0,NTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,549
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,counterparty,unmapped,at_fault,NTA,0,NTA,REJECT,1,unresolvable,312,1,0,1,ACCEPT,0,1,1,1,stop,0,498
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,neutral_adjudicator,third_party,none,NTA,0,NTA,ACCEPT_WITH_MODIFICATION,1,,0,1,1,1,ACCEPT,0,1,1,0,stop,0,562
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,writer_advocate,primary_affected,not_at_fault,NTA,0,NTA,ACCEPT_WITH_MODIFICATION,1,modification,189,1,0,1,ACCEPT,0,1,1,0,stop,0,467
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,counterparty,unmapped,at_fault,NTA,0,NTA,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,1,stop,0,716
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,neutral_adjudicator,third_party,none,NTA,0,NTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,500
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,writer_advocate,primary_affected,not_at_fault,ESH,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,199,1,0,1,ACCEPT,0,1,1,1,stop,0,461
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,counterparty,unmapped,at_fault,ESH,1,YTA,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,0,stop,0,862
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,neutral_adjudicator,third_party,none,ESH,1,YTA,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,0,stop,0,817
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,writer_advocate,primary_affected,not_at_fault,ESH,1,ESH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,1,stop,0,461
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,counterparty,unmapped,at_fault,ESH,1,ESH,REJECT,1,unresolvable,238,1,0,0,ACCEPT,0,1,1,0,stop,0,782
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,neutral_adjudicator,third_party,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,771
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,writer_advocate,primary_affected,not_at_fault,NTA,0,YTA,REJECT,1,unresolvable,284,1,0,1,ACCEPT,0,1,1,0,stop,0,526
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,counterparty,unmapped,at_fault,NTA,0,YTA,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,1,stop,0,794
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,neutral_adjudicator,third_party,none,NTA,0,YTA,REJECT,1,unresolvable,263,1,0,1,ACCEPT,0,1,1,0,stop,0,544
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,213,1,0,1,REJECT,1,1,0,1,stop,0,811
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,2788
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,467
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,241,1,0,1,REJECT,1,1,0,1,stop,0,895
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,REJECT,1,1,0,0,stop,0,4626
gpt-5.4-nano,narrative_cot,third_person,0,cot+fewshot(plain),2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,1267
