model,scaffold,arm,stake_nudge,stake_intervention,item_id,sample_idx,gold_verdict,role_id,paper_role,role_stake,group_verdict,group_at_fault,synthesis_verdict,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,finish_reason,truncated,output_len,seat_index,seat_model,r0_verdict,r2_verdict,r0_output_len,r0_finish_reason
multivendor,narrative_cot,third_person,0,none,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,3307,1,claude-haiku-4-5,YTA,YTA,3884,end_turn
multivendor,narrative_cot,third_person,0,none,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,128,1,0,1,ACCEPT,0,1,1,0,stop,0,326,2,gpt-5.4-nano,YTA,YTA,4295,stop
multivendor,narrative_cot,third_person,0,none,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,617,3,grok-4-1-fast-reasoning,YTA,YTA,999,stop
multivendor,narrative_cot,third_person,0,none,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,reader_1_noedge,multivendor_reader,none,NAH,0,NAH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,3716,1,claude-haiku-4-5,ESH,YTA,5519,end_turn
multivendor,narrative_cot,third_person,0,none,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,reader_2_noedge,multivendor_reader,none,NAH,0,NAH,REJECT,1,unresolvable,215,1,0,1,ACCEPT,0,1,1,0,stop,0,4147,2,gpt-5.4-nano,NTA,NTA,4309,stop
multivendor,narrative_cot,third_person,0,none,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,reader_3_noedge,multivendor_reader,none,NAH,0,NAH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,401,3,grok-4-1-fast-reasoning,NAH,NAH,4836,stop
multivendor,narrative_cot,third_person,0,none,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,reader_1_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,4710,1,claude-haiku-4-5,YTA,YTA,3804,end_turn
multivendor,narrative_cot,third_person,0,none,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,reader_2_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,303,1,0,1,ACCEPT,0,1,1,0,stop,0,928,2,gpt-5.4-nano,ESH,ESH,4484,stop
multivendor,narrative_cot,third_person,0,none,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,reader_3_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,565,3,grok-4-1-fast-reasoning,ESH,ESH,931,stop
multivendor,narrative_cot,third_person,0,none,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,6247,1,claude-haiku-4-5,YTA,YTA,4626,end_turn
