scenario_id,condition,sample_idx,gen_model,output_len,refused,stakeholder_count,max_causal_hops,uncertainty_score,framework_names_invoked,commits_to_action,action_summary,_judge
dd_25448,narrative_cot,0,grok-4-1-fast-reasoning,4187,False,5,4,3,[],True,"John should modify his teaching methods to incorporate brief context warnings, private opt-out discussions for sensitive topics, and one-on-one follow-ups with students like Alice, while preserving the core content of challenging students' beliefs to foster critical thinking in an inclusive way.",grok-4-1-fast-reasoning
dd_25448,baseline_io,0,claude-sonnet-4-6,1707,False,3,1,2,[],False,"John should honestly evaluate whether his teaching methods are consistently applied to all students equally, intellectually focused rather than personally directed, proportionate to educational goals, and professionally conducted, while aiming for rigorous but respectful challenge.",grok-4-1-fast-reasoning
dd_25448,standard_cot,0,grok-4-1-fast-reasoning,3539,False,3,4,2,[],True,"John should continue challenging students' beliefs while slightly modifying teaching methods to include clear expectations, inclusive techniques, personal follow-up with Alice, and documentation to minimize distress without compromising rigor.",grok-4-1-fast-reasoning
dd_25448,baseline_io,0,grok-4-1-fast-reasoning,484,False,3,2,0,[],True,"John should continue challenging students' beliefs with modifications to target ideas rather than individuals, foster a classroom environment normalizing discomfort for growth, and provide resources like office hours for students to process it.",grok-4-1-fast-reasoning
dd_25448,standard_cot,0,claude-sonnet-4-6,1736,False,4,1,3,[],False,"John should continue challenging beliefs while reflecting on his approach, distinguishing productive discomfort from harassment, engaging Alice directly, and consulting colleagues or administration if needed.",grok-4-1-fast-reasoning
dd_25448,narrative_cot,0,claude-sonnet-4-6,8796,False,6,5,3,[],True,"John should engage directly and humbly with Alice's concern, seek to understand its specific nature, and make targeted refinements to his methods that preserve rigorous intellectual challenge while ensuring it is directed at ideas rather than individuals.",grok-4-1-fast-reasoning
dd_20446,baseline_io,0,grok-4-1-fast-reasoning,837,False,3,2,0,[],True,Alice should not pursue a relationship with Bob while he's still committed to someone else.,grok-4-1-fast-reasoning
dd_20446,standard_cot,0,grok-4-1-fast-reasoning,2277,False,3,3,2,[],True,"Alice should not pursue a relationship with Bob while he is committed, set a clear boundary, focus on herself, and reassess only if he ends it legitimately.",grok-4-1-fast-reasoning
dd_20446,baseline_io,0,claude-sonnet-4-6,1526,False,3,2,2,[],True,Alice should express interest but only pursue if and when Bob has genuinely ended his current relationship.,grok-4-1-fast-reasoning
dd_20446,standard_cot,0,claude-sonnet-4-6,1592,False,3,4,2,[],True,Alice should not actively pursue this; Bob should end his current relationship first.,grok-4-1-fast-reasoning
dd_20446,narrative_cot,0,claude-sonnet-4-6,7572,False,3,5,3,[],True,Alice should decline to pursue a romantic relationship with Bob while he is still committed to another and instead communicate her openness to a future relationship once he is genuinely single.,grok-4-1-fast-reasoning
dd_20446,narrative_cot,0,grok-4-1-fast-reasoning,4368,False,5,4,2,[],True,"Alice should not pursue a relationship with Bob until he is fully single, setting a firm boundary and encouraging him to resolve his current situation first while focusing on her own growth.",grok-4-1-fast-reasoning
dd_35542,baseline_io,0,grok-4-1-fast-reasoning,355,False,3,2,0,[],True,The friend should continue discouraging John from dropping out.,grok-4-1-fast-reasoning
dd_35542,standard_cot,0,grok-4-1-fast-reasoning,3279,False,3,4,3,[],True,"The friend should pivot from outright discouragement to honest, constructive mentoring, strongly advising against dropping out of school while suggesting balanced alternatives and involving parents in a collaborative discussion.",grok-4-1-fast-reasoning
dd_35542,baseline_io,0,claude-sonnet-4-6,1535,False,3,2,2,[],True,"The friend should provide specifically honest counsel by sharing concrete industry realities, personal lessons learned, and advice on timing and preparation rather than blanket discouragement.",grok-4-1-fast-reasoning
dd_35542,narrative_cot,0,grok-4-1-fast-reasoning,4526,False,5,4,3,[],True,"The friend should continue to discourage John from dropping out by sharing unvarnished stories, data, and alternatives like part-time music plus school, while respecting his autonomy.",grok-4-1-fast-reasoning
dd_35542,standard_cot,0,claude-sonnet-4-6,1713,False,3,2,2,[],True,The friend should share honest realities and specific information to help John make an informed decision without substituting their judgment for his or overriding his autonomy.,grok-4-1-fast-reasoning
